"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","Ubiquiti_ad:e2:8c","Broadcast","ARP","60","Who has 192.168.0.107? Tell 192.168.0.200"
"2","0.308032","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.208? Tell 192.168.1.1"
"3","0.308033","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.207? Tell 192.168.1.1"
"4","0.308033","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.209? Tell 192.168.1.1"
"5","0.308033","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.210? Tell 192.168.1.1"
"6","0.308033","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.211? Tell 192.168.1.1"
"7","0.357446","2802:8010:4713:de01:81e0:13aa:dce9:2c9e","2a03:2880:f210:c5:face:b00c:0:167","TLSv1.2","180","Application Data"
"8","0.363032","2a03:2880:f210:c5:face:b00c:0:167","2802:8010:4713:de01:81e0:13aa:dce9:2c9e","TCP","86","443  >  49584 [ACK] Seq=1 Ack=95 Win=1904 Len=0 TSval=117859395 TSecr=3602998356"
"9","0.921471","Ubiquiti_ad:e2:8c","Broadcast","ARP","60","Who has 192.168.0.107? Tell 192.168.0.200"
"10","1.538042","192.168.1.40","192.168.1.48","TCP","66","1716  >  33324 [RST, ACK] Seq=1 Ack=1 Win=73 Len=0 TSval=378336267 TSecr=2375735156"
"11","1.843255","Ubiquiti_ad:e2:8c","Broadcast","ARP","60","Who has 192.168.0.107? Tell 192.168.0.200"
"12","2.765620","2a03:2880:f210:c5:face:b00c:0:167","2802:8010:4713:de01:81e0:13aa:dce9:2c9e","TLSv1.2","354","Application Data"
"13","2.765683","2802:8010:4713:de01:81e0:13aa:dce9:2c9e","2a03:2880:f210:c5:face:b00c:0:167","TCP","86","49584  >  443 [ACK] Seq=95 Ack=269 Win=559 Len=0 TSval=3603000765 TSecr=117861599"
"14","3.072247","Ubiquiti_ad:e2:8c","Broadcast","ARP","60","Who has 192.168.0.107? Tell 192.168.0.200"
"15","3.072265","2802:8010:4713:de01:c263:e9c2:1fab:33eb","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"16","3.828753","192.168.1.48","179.40.131.41","TCP","66","33586  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2850019856 TSecr=3001787486"
"17","3.834181","179.40.131.41","192.168.1.48","TCP","66","[TCP ACKed unseen segment] 80  >  33586 [ACK] Seq=1 Ack=2 Win=501 Len=0 TSval=3001797726 TSecr=2849937921"
"18","3.993633","Ubiquiti_ad:e2:8c","Broadcast","ARP","60","Who has 192.168.0.107? Tell 192.168.0.200"
"19","4.303220","192.168.1.41","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlezone._tcp.local, ""QM"" question"
"20","4.303220","192.168.1.41","224.0.0.251","MDNS","309","Standard query response 0x0000 PTR 23c88671-bb07-82c1-1465-841bf941cc32._googlezone._tcp.local TXT, cache flush SRV, cache flush 760 65535 10001 23c88671-bb07-82c1-1465-841bf941cc32.local A, cache flush 192.168.1.41"
"21","4.303220","192.168.1.41","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"22","4.303220","192.168.1.41","224.0.0.251","MDNS","417","Standard query response 0x0000 PTR Chromecast-Audio-23c88671bb0782c11465841bf941cc32._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 23c88671-bb07-82c1-1465-841bf941cc32.local A, cache flush 192.168.1.41"
"23","4.303220","192.168.1.41","224.0.0.251","MDNS","429","Standard query response 0x0000 PTR Google-Cast-Group-256d45f4f018479ba71a894a0405d722._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 32154 23c88671-bb07-82c1-1465-841bf941cc32.local A, cache flush 192.168.1.41"
"24","4.608838","192.168.1.44","224.0.0.251","MDNS","252","Standard query response 0x0000 PTR dbc7ae74-a1db-4ffc-d009-ff4616e47d6e._googlezone._tcp.local TXT, cache flush SRV, cache flush 510 32 10001 dbc7ae74-a1db-4ffc-d009-ff4616e47d6e.local A, cache flush 192.168.1.44"
"25","4.608839","192.168.1.44","224.0.0.251","MDNS","402","Standard query response 0x0000 PTR Chromecast-dbc7ae74a1db4ffcd009ff4616e47d6e._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 dbc7ae74-a1db-4ffc-d009-ff4616e47d6e.local A, cache flush 192.168.1.44"
"26","4.915117","Ubiquiti_ad:e2:8c","Broadcast","ARP","60","Who has 192.168.0.107? Tell 192.168.0.200"
"27","5.222394","HuaweiTe_b0:7a:92","Broadcast","ARP","60","Who has 192.168.1.1? Tell 192.168.1.37"
"28","5.530710","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.212? Tell 192.168.1.1"
"29","5.530711","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.213? Tell 192.168.1.1"
"30","5.530711","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.214? Tell 192.168.1.1"
"31","5.530711","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.215? Tell 192.168.1.1"
"32","5.530711","AskeyCom_7b:32:b0","Broadcast","ARP","60","Who has 192.168.1.216? Tell 192.168.1.1"
"33","5.836682","Ubiquiti_ad:e2:8c","Broadcast","ARP","60","Who has 192.168.0.107? Tell 192.168.0.200"
"34","6.143907","192.168.1.1","224.0.0.1","IGMPv2","60","Membership Query, general"
"35","6.152793","192.168.1.48","224.0.0.251","IGMPv2","46","Membership Report group 224.0.0.251"
